epochs hidden_layers neurons learning_rate batch_size dropout
5120 2 4096 3.1622776601683795e-05 4 0.05
2560 2 256 1e-05 32 0.2
40960 2 256 3.162277660168379e-06 4 0.2
20480 1 512 1e-06 8 0.2
20480 2 256 3.162277660168379e-06 8 0.2
40960 1 256 0.0001 8 0.25
40960 2 1024 3.162277660168379e-06 8 0.05
20480 5 2048 3.1622776601683795e-05 32 0.1
10240 5 256 0.0001 16 0.25
5120 5 2048 3.1622776601683795e-05 4 0.1
20480 2 1024 3.1622776601683795e-05 32 0.1
5120 4 4096 3.1622776601683795e-05 16 0.2
5120 5 256 1e-05 8 0.1
10240 2 1024 1e-05 4 0.05
40960 3 4096 1e-06 4 0.1
20480 5 256 0.0001 16 0.2
40960 1 256 1e-05 4 0.25
5120 1 512 0.0001 32 0.2
10240 1 256 3.1622776601683795e-05 16 0.25
40960 4 4096 0.0001 16 0.05
5120 5 2048 3.162277660168379e-06 16 0.25
5120 3 512 1e-05 8 0.2
10240 3 4096 1e-06 16 0.25
10240 4 2048 3.1622776601683795e-05 8 0.05
2560 5 512 0.0001 32 0.25
20480 5 4096 3.1622776601683795e-05 4 0.25
5120 4 256 1e-05 8 0.05
20480 4 2048 3.162277660168379e-06 32 0.05
5120 4 4096 3.162277660168379e-06 4 0.05
10240 2 4096 3.1622776601683795e-05 4 0.25
5120 4 4096 1e-05 32 0.2
5120 3 1024 1e-06 16 0.25
40960 2 2048 0.0001 4 0.1
2560 4 256 1e-05 8 0.05
5120 5 256 3.162277660168379e-06 4 0.1
2560 3 2048 1e-06 4 0.1
5120 1 256 0.0001 16 0.2
40960 1 4096 3.1622776601683795e-05 32 0.05
5120 2 1024 3.1622776601683795e-05 4 0.05
20480 3 2048 3.162277660168379e-06 8 0.05
20480 2 256 1e-06 8 0.25
10240 1 4096 0.0001 4 0.05
20480 2 512 3.1622776601683795e-05 16 0.1
10240 3 256 0.0001 32 0.2
10240 1 512 3.162277660168379e-06 8 0.1
5120 3 256 3.162277660168379e-06 8 0.1
20480 2 4096 3.1622776601683795e-05 32 0.2
2560 4 4096 3.162277660168379e-06 4 0.2
2560 4 4096 0.0001 4 0.05
5120 3 4096 1e-06 8 0.25
20480 3 1024 1e-06 16 0.05
10240 2 1024 1e-05 4 0.2
2560 4 256 0.0001 16 0.25
10240 1 512 3.1622776601683795e-05 8 0.1
10240 5 512 3.1622776601683795e-05 16 0.2
20480 5 2048 0.0001 32 0.05
40960 5 512 1e-06 16 0.05
5120 4 2048 1e-05 32 0.25
2560 2 2048 1e-06 32 0.1
5120 4 1024 0.0001 16 0.25
20480 3 256 3.1622776601683795e-05 4 0.05
40960 5 1024 1e-05 32 0.25
10240 2 2048 1e-05 16 0.2
40960 5 4096 3.162277660168379e-06 4 0.1
20480 5 512 3.162277660168379e-06 8 0.1
5120 5 2048 3.1622776601683795e-05 16 0.05
20480 4 2048 0.0001 32 0.2
5120 1 4096 1e-06 8 0.1
10240 4 1024 1e-05 4 0.2
5120 2 512 0.0001 8 0.1
2560 5 1024 1e-05 4 0.25
2560 4 512 1e-05 32 0.25
5120 3 1024 3.162277660168379e-06 4 0.2
10240 3 512 3.1622776601683795e-05 8 0.2
10240 5 2048 3.162277660168379e-06 8 0.05
5120 3 256 3.1622776601683795e-05 8 0.2
10240 4 4096 0.0001 32 0.1
10240 5 2048 1e-06 8 0.2
40960 3 4096 3.162277660168379e-06 8 0.1
5120 1 1024 3.162277660168379e-06 8 0.2
5120 4 2048 1e-05 32 0.1
40960 3 512 1e-06 16 0.25
2560 4 256 3.162277660168379e-06 16 0.2
5120 1 4096 1e-05 16 0.05
40960 4 2048 3.162277660168379e-06 16 0.25
2560 2 256 0.0001 16 0.1
5120 2 1024 0.0001 16 0.25
10240 3 1024 3.1622776601683795e-05 16 0.25
2560 3 4096 3.1622776601683795e-05 4 0.05
2560 1 2048 3.162277660168379e-06 8 0.25
20480 2 1024 3.162277660168379e-06 8 0.1
40960 3 512 1e-05 4 0.1
5120 5 512 3.1622776601683795e-05 16 0.1
2560 2 512 3.162277660168379e-06 4 0.05
10240 4 512 0.0001 16 0.1
40960 3 2048 1e-06 8 0.25
5120 1 512 1e-06 32 0.2
5120 5 512 3.162277660168379e-06 4 0.1
20480 3 4096 3.1622776601683795e-05 32 0.1
10240 2 1024 1e-06 32 0.25
2560 2 512 0.0001 8 0.25
40960 4 1024 3.162277660168379e-06 8 0.2
10240 4 256 3.162277660168379e-06 4 0.05
40960 2 4096 0.0001 32 0.2
40960 1 2048 0.0001 16 0.25
40960 2 2048 3.162277660168379e-06 32 0.25
2560 4 2048 1e-05 8 0.2
2560 4 512 1e-06 32 0.1
5120 2 2048 3.162277660168379e-06 32 0.2
40960 4 512 3.1622776601683795e-05 4 0.2
20480 5 4096 0.0001 4 0.25
10240 5 4096 0.0001 32 0.05
40960 3 512 3.162277660168379e-06 32 0.05
5120 5 512 0.0001 4 0.1
2560 3 4096 1e-05 16 0.2
2560 5 256 3.162277660168379e-06 32 0.1
5120 5 4096 1e-06 32 0.2
20480 3 4096 3.162277660168379e-06 8 0.2
2560 5 4096 3.1622776601683795e-05 16 0.1
20480 3 256 1e-05 32 0.25
5120 3 256 1e-06 8 0.2
5120 1 4096 1e-05 32 0.05
10240 5 256 3.162277660168379e-06 8 0.2
5120 5 512 3.1622776601683795e-05 32 0.1
5120 1 4096 3.162277660168379e-06 32 0.25
40960 2 512 3.162277660168379e-06 16 0.05
40960 3 4096 1e-06 16 0.2
2560 4 4096 0.0001 32 0.1
20480 5 256 3.162277660168379e-06 8 0.25
40960 5 512 3.162277660168379e-06 16 0.2
2560 3 4096 0.0001 4 0.05
10240 2 1024 1e-05 32 0.05
2560 2 512 0.0001 4 0.2
5120 2 2048 1e-06 16 0.1
40960 3 1024 3.1622776601683795e-05 4 0.25
40960 4 256 0.0001 8 0.2
20480 4 512 3.162277660168379e-06 4 0.2
5120 5 1024 3.162277660168379e-06 4 0.2
2560 5 2048 3.1622776601683795e-05 8 0.25
20480 4 4096 0.0001 4 0.1
2560 1 256 1e-05 16 0.2
5120 4 256 1e-06 4 0.2
20480 2 1024 1e-05 4 0.2
10240 5 4096 1e-06 4 0.2
40960 3 1024 1e-06 32 0.05
5120 1 256 0.0001 8 0.1
10240 5 2048 3.162277660168379e-06 4 0.2
5120 5 512 0.0001 32 0.05
5120 4 1024 0.0001 4 0.05
5120 3 4096 3.162277660168379e-06 16 0.2
2560 5 512 3.162277660168379e-06 4 0.05
20480 1 2048 1e-06 4 0.2
2560 1 2048 1e-05 4 0.2
10240 3 2048 3.162277660168379e-06 32 0.05
40960 3 4096 1e-06 32 0.1
10240 2 512 0.0001 4 0.05
40960 2 512 1e-05 4 0.1
2560 2 1024 3.1622776601683795e-05 32 0.2
2560 4 4096 0.0001 4 0.25
5120 2 512 3.162277660168379e-06 4 0.1
2560 5 512 3.1622776601683795e-05 16 0.2
5120 2 512 3.1622776601683795e-05 4 0.05
2560 4 2048 1e-06 4 0.05
2560 3 1024 3.162277660168379e-06 4 0.2
5120 3 256 1e-06 32 0.05
40960 2 2048 3.162277660168379e-06 32 0.2
10240 4 4096 3.1622776601683795e-05 32 0.25
