epochs hidden_layers neurons learning_rate batch_size dropout
1280 2 8192 3.1622776601683795e-05 1024 0.2
1280 5 512 1e-06 512 0.4
1280 8 512 0.0001 32 0.5
5120 5 5120 1e-05 16 0.3
40 6 4096 1e-05 256 0.1
640 2 256 3.1622776601683795e-05 16 0.4
2560 1 4096 3.162277660168379e-06 32 0.1
1280 1 7168 1e-05 1024 0.3
5120 6 512 1e-06 64 0.5
640 7 8192 3.162277660168379e-06 32 0.5
640 5 5120 3.162277660168379e-06 16 0.5
640 2 7168 3.1622776601683795e-05 128 0.0
160 1 4096 1e-05 64 0.3
5120 7 8192 0.0001 256 0.2
2560 8 4096 1e-05 32 0.1
1280 6 512 3.162277660168379e-06 64 0.0
640 1 5120 1e-06 32 0.2
1280 1 4096 3.162277660168379e-06 512 0.4
40 7 4096 1e-06 16 0.3
2560 6 6144 0.0001 256 0.1
160 6 4096 1e-05 512 0.0
160 7 256 1e-06 256 0.1
5120 6 2048 1e-06 32 0.3
640 7 4096 3.1622776601683795e-05 32 0.4
640 1 4096 1e-05 64 0.4
1280 6 512 0.0001 512 0.4
1280 8 256 1e-05 32 0.3
2560 4 8192 3.162277660168379e-06 32 0.4
40 4 4096 3.162277660168379e-06 64 0.4
2560 2 5120 1e-05 32 0.2
2560 4 256 0.0001 32 0.1
40 2 512 0.0001 128 0.3
5120 7 1024 1e-05 128 0.1
640 2 5120 3.162277660168379e-06 128 0.0
10240 5 4096 1e-06 512 0.2
2560 4 1024 3.162277660168379e-06 512 0.1
2560 4 5120 3.1622776601683795e-05 512 0.4
10240 8 6144 1e-06 64 0.4
1280 2 5120 1e-05 32 0.4
1280 1 2048 3.1622776601683795e-05 512 0.5
640 6 8192 3.162277660168379e-06 128 0.0
10240 1 6144 3.162277660168379e-06 32 0.5
2560 1 6144 0.0001 128 0.1
2560 7 2048 0.0001 16 0.1
2560 2 6144 1e-05 16 0.4
5120 5 4096 1e-05 256 0.1
640 7 6144 0.0001 1024 0.3
40 7 4096 3.162277660168379e-06 32 0.5
640 6 7168 1e-06 256 0.2
160 1 256 1e-05 64 0.1
1280 1 256 3.162277660168379e-06 16 0.4
40 1 512 3.162277660168379e-06 16 0.5
10240 3 7168 3.1622776601683795e-05 1024 0.0
10240 7 4096 1e-06 1024 0.5
640 1 512 1e-05 16 0.1
5120 2 1024 3.162277660168379e-06 32 0.0
10240 3 1024 3.162277660168379e-06 64 0.4
10240 7 8192 1e-06 32 0.2
160 3 6144 1e-06 64 0.4
2560 2 256 1e-06 256 0.5
640 3 5120 1e-06 512 0.5
1280 2 7168 1e-06 64 0.4
40 8 2048 0.0001 256 0.3
640 4 512 0.0001 1024 0.1
10240 2 4096 0.0001 256 0.3
5120 1 5120 0.0001 64 0.1
5120 6 6144 0.0001 128 0.5
40 4 7168 1e-05 1024 0.0
10240 3 4096 1e-06 64 0.5
2560 8 512 3.1622776601683795e-05 512 0.2
10240 3 4096 1e-06 512 0.5
1280 2 5120 0.0001 32 0.3
1280 7 6144 1e-06 1024 0.4
640 8 2048 1e-06 1024 0.0
160 5 7168 0.0001 16 0.5
2560 1 2048 1e-05 16 0.2
2560 7 2048 3.1622776601683795e-05 16 0.0
2560 5 1024 1e-05 512 0.5
2560 5 1024 0.0001 32 0.5
10240 7 256 3.1622776601683795e-05 256 0.4
5120 8 256 1e-06 1024 0.2
2560 4 7168 0.0001 64 0.0
1280 1 4096 1e-05 256 0.5
40 5 512 1e-05 1024 0.4
1280 2 256 3.162277660168379e-06 256 0.1
1280 7 5120 1e-05 1024 0.2
40 5 512 1e-06 128 0.4
5120 4 7168 3.162277660168379e-06 64 0.1
160 2 4096 3.1622776601683795e-05 256 0.5
640 7 256 3.162277660168379e-06 256 0.4
40 8 512 3.1622776601683795e-05 512 0.0
2560 3 256 1e-05 256 0.1
40 6 2048 3.162277660168379e-06 1024 0.4
640 8 5120 0.0001 512 0.5
640 7 5120 3.1622776601683795e-05 64 0.2
640 2 5120 0.0001 32 0.3
10240 6 512 1e-06 512 0.1
1280 3 512 3.1622776601683795e-05 32 0.0
2560 8 512 3.162277660168379e-06 512 0.2
10240 5 8192 3.162277660168379e-06 256 0.1
1280 7 2048 1e-06 256 0.2
640 6 5120 3.162277660168379e-06 1024 0.1
2560 1 7168 3.1622776601683795e-05 1024 0.4
40 2 256 3.1622776601683795e-05 1024 0.5
10240 5 2048 1e-06 512 0.1
2560 3 2048 3.162277660168379e-06 128 0.0
640 4 5120 0.0001 32 0.4
160 4 4096 1e-05 64 0.5
640 6 256 1e-05 16 0.0
1280 4 4096 1e-05 128 0.4
1280 4 2048 3.162277660168379e-06 16 0.4
1280 8 6144 1e-05 16 0.0
40 7 2048 0.0001 128 0.1
640 1 5120 0.0001 128 0.2
1280 3 7168 0.0001 32 0.3
160 3 1024 1e-05 1024 0.1
5120 6 7168 3.162277660168379e-06 512 0.2
2560 6 256 1e-06 512 0.2
5120 5 4096 3.1622776601683795e-05 32 0.5
1280 2 4096 1e-05 32 0.1
2560 2 5120 1e-05 128 0.1
160 4 256 1e-05 64 0.4
640 2 7168 3.162277660168379e-06 512 0.0
