a	pref_name
(1,"SINGLE PROTEIN",Maltase-glucoamylase,9606,"Homo sapiens",CHEMBL2074,0)	Maltase-glucoamylase
(2,"SINGLE PROTEIN","Sulfonylurea receptor 2",9606,"Homo sapiens",CHEMBL1971,0)	Sulfonylurea receptor 2
(3,"SINGLE PROTEIN","Phosphodiesterase 5A",9606,"Homo sapiens",CHEMBL1827,0)	Phosphodiesterase 5A
(4,"SINGLE PROTEIN","Voltage-gated T-type calcium channel alpha-1H subunit",9606,"Homo sapiens",CHEMBL1859,0)	Voltage-gated T-type calcium channel alpha-1H subunit
(5,"SINGLE PROTEIN","Nicotinic acetylcholine receptor alpha subunit",6253,"Ascaris suum",CHEMBL1884,0)	Nicotinic acetylcholine receptor alpha subunit
(6,"SINGLE PROTEIN","Dihydrofolate reductase",9606,"Homo sapiens",CHEMBL202,0)	Dihydrofolate reductase
(7,"SINGLE PROTEIN","Dihydrofolate reductase",562,"Escherichia coli",CHEMBL1809,0)	Dihydrofolate reductase
(8,"SINGLE PROTEIN","Tyrosine-protein kinase ABL",9606,"Homo sapiens",CHEMBL1862,0)	Tyrosine-protein kinase ABL
(9,"SINGLE PROTEIN","Epidermal growth factor receptor erbB1",9606,"Homo sapiens",CHEMBL203,0)	Epidermal growth factor receptor erbB1
(10,"SINGLE PROTEIN","DNA-directed RNA polymerase beta chain",83333,"Escherichia coli K-12",CHEMBL1852,0)	DNA-directed RNA polymerase beta chain
(11,"SINGLE PROTEIN",Thrombin,9606,"Homo sapiens",CHEMBL204,0)	Thrombin
(12,"SINGLE PROTEIN",Plasminogen,9606,"Homo sapiens",CHEMBL1801,0)	Plasminogen
(13,"SINGLE PROTEIN","Beta-lactamase TEM",562,"Escherichia coli",CHEMBL2065,0)	Beta-lactamase TEM
(14,"SINGLE PROTEIN","Adenosine deaminase",9606,"Homo sapiens",CHEMBL1910,0)	Adenosine deaminase
(15,"SINGLE PROTEIN","Carbonic anhydrase II",9606,"Homo sapiens",CHEMBL205,0)	Carbonic anhydrase II
(16,"SINGLE PROTEIN",Antithrombin-III,9606,"Homo sapiens",CHEMBL1950,0)	Antithrombin-III
(18,"SINGLE PROTEIN","Penicillin-binding protein 1A",83333,"Escherichia coli K-12",CHEMBL1813,0)	Penicillin-binding protein 1A
(19,"SINGLE PROTEIN","Estrogen receptor alpha",9606,"Homo sapiens",CHEMBL206,0)	Estrogen receptor alpha
(21,"SINGLE PROTEIN",Neuraminidase,211044,"Influenza A virus (A/Puerto Rico/8/1934(H1N1))",CHEMBL2051,0)	Neuraminidase
(22,"SINGLE PROTEIN","Influenza virus A matrix protein M2",381517,"Influenza A virus (A/Udorn/307/1972(H3N2))",CHEMBL2052,0)	Influenza virus A matrix protein M2
(23,"SINGLE PROTEIN","Plasma kallikrein",9606,"Homo sapiens",CHEMBL2000,0)	Plasma kallikrein
(24,"SINGLE PROTEIN","HMG-CoA reductase",9606,"Homo sapiens",CHEMBL402,0)	HMG-CoA reductase
(25,"SINGLE PROTEIN","Glucocorticoid receptor",9606,"Homo sapiens",CHEMBL2034,0)	Glucocorticoid receptor
(27,"SINGLE PROTEIN","Human herpesvirus 1 DNA polymerase",10299,"Herpes simplex virus (type 1 / strain 17)",CHEMBL1872,0)	Human herpesvirus 1 DNA polymerase
(28,"SINGLE PROTEIN","Thymidylate synthase",9606,"Homo sapiens",CHEMBL1952,0)	Thymidylate synthase
(29,"SINGLE PROTEIN","Sodium/potassium-transporting ATPase alpha-1 chain",9606,"Homo sapiens",CHEMBL1807,0)	Sodium/potassium-transporting ATPase alpha-1 chain
(30,"SINGLE PROTEIN","Aldehyde dehydrogenase",9606,"Homo sapiens",CHEMBL1935,0)	Aldehyde dehydrogenase
(32,"SINGLE PROTEIN","Cytochrome P450 11A1",9606,"Homo sapiens",CHEMBL2033,0)	Cytochrome P450 11A1
(33,"SINGLE PROTEIN","Tubulin beta-2 chain",9606,"Homo sapiens",CHEMBL1848,0)	Tubulin beta-2 chain
(34,"SINGLE PROTEIN","Fibronectin receptor beta",9606,"Homo sapiens",CHEMBL1905,0)	Fibronectin receptor beta
(35,"SINGLE PROTEIN","Insulin receptor",9606,"Homo sapiens",CHEMBL1981,0)	Insulin receptor
(36,"SINGLE PROTEIN","Progesterone receptor",9606,"Homo sapiens",CHEMBL208,0)	Progesterone receptor
(37,"SINGLE PROTEIN","DNA gyrase subunit B",562,"Escherichia coli",CHEMBL1826,0)	DNA gyrase subunit B
(38,"SINGLE PROTEIN","Epoxide hydrolase 1",9606,"Homo sapiens",CHEMBL1968,0)	Epoxide hydrolase 1
(39,"SINGLE PROTEIN","Tyrosine 3-hydroxylase",9606,"Homo sapiens",CHEMBL1969,0)	Tyrosine 3-hydroxylase
(40,"SINGLE PROTEIN","Thyroid peroxidase",9606,"Homo sapiens",CHEMBL1839,0)	Thyroid peroxidase
(41,"SINGLE PROTEIN","Alcohol dehydrogenase alpha chain",9606,"Homo sapiens",CHEMBL1970,0)	Alcohol dehydrogenase alpha chain
(42,"SINGLE PROTEIN","Trypsin I",9606,"Homo sapiens",CHEMBL209,0)	Trypsin I
(43,"SINGLE PROTEIN","Beta-2 adrenergic receptor",9606,"Homo sapiens",CHEMBL210,0)	Beta-2 adrenergic receptor
(45,"SINGLE PROTEIN","D-alanylalanine synthetase",83333,"Escherichia coli K-12",CHEMBL1956,0)	D-alanylalanine synthetase
(46,"SINGLE PROTEIN","Penicillin-binding protein 2",83333,"Escherichia coli K-12",CHEMBL1840,0)	Penicillin-binding protein 2
(47,"SINGLE PROTEIN","Muscarinic acetylcholine receptor M2",9606,"Homo sapiens",CHEMBL211,0)	Muscarinic acetylcholine receptor M2
(48,"SINGLE PROTEIN","Mineralocorticoid receptor",9606,"Homo sapiens",CHEMBL1994,0)	Mineralocorticoid receptor
(49,"SINGLE PROTEIN","Integrin alpha-IIb",9606,"Homo sapiens",CHEMBL212,0)	Integrin alpha-IIb
(50,"SINGLE PROTEIN","Beta-1 adrenergic receptor",9606,"Homo sapiens",CHEMBL213,0)	Beta-1 adrenergic receptor
(51,"SINGLE PROTEIN","Serotonin 1a (5-HT1a) receptor",9606,"Homo sapiens",CHEMBL214,0)	Serotonin 1a (5-HT1a) receptor
(52,"SINGLE PROTEIN","Alpha-2a adrenergic receptor",9606,"Homo sapiens",CHEMBL1867,0)	Alpha-2a adrenergic receptor
(53,"SINGLE PROTEIN","DNA gyrase subunit A",83333,"Escherichia coli K-12",CHEMBL1858,0)	DNA gyrase subunit A
